Removed Pin From Net: NetName=GND Pin=C2-2
Removed Pin From Net: NetName=GND Pin=C3-1
Removed Pin From Net: NetName=VCC Pin=C3-2
Removed Pin From Net: NetName=VCC Pin=C4-1
Removed Pin From Net: NetName=GND Pin=C4-2
Removed Pin From Net: NetName=GND Pin=C5-2
Removed Pin From Net: NetName=NetIC1_8 Pin=IC1-8
Removed Pin From Net: NetName=NetIC1_9 Pin=IC1-9
Removed Pin From Net: NetName=GND Pin=IC2-1
Removed Pin From Net: NetName=VCC Pin=IC2-8
Removed Pin From Net: NetName=GND Pin=IC2-11
Removed Pin From Net: NetName=VCC Pin=IC2-13
Removed Pin From Net: NetName=GND Pin=IC2-18
Removed Pin From Net: NetName=NetIC1_8 Pin=IC2-23
Removed Pin From Net: NetName=NetIC1_9 Pin=IC2-24
Removed Pin From Net: NetName=VCC Pin=IC3-12
Removed Pin From Net: NetName=NetIC1_30 Pin=IC6-2
Removed Pin From Net: NetName=NetIC1_37 Pin=IC6-5
Removed Pin From Net: NetName=NetIC1_29 Pin=IC6-6
Removed Pin From Net: NetName=GND Pin=P1-1
Removed Pin From Net: NetName=VCC Pin=P1-2
Removed Pin From Net: NetName=VCC Pin=P2-1
Removed Pin From Net: NetName=GND Pin=P2-2
Removed Pin From Net: NetName=NetIC1_8 Pin=P2-3
Removed Pin From Net: NetName=NetIC1_9 Pin=P2-4
Removed Pin From Net: NetName=GND Pin=P2-5
Removed Pin From Net: NetName=NetIC1_30 Pin=P3-7
Removed Pin From Net: NetName=NetIC1_29 Pin=P4-4
Removed Pin From Net: NetName=NetIC1_26 Pin=P4-5
Removed Pin From Net: NetName=NetIC1_37 Pin=P5-3
Removed Pin From Net: NetName=NetIC1_30 Pin=P5-4
Removed Pin From Net: NetName=NetIC1_29 Pin=P5-5
Removed Pin From Net: NetName=VCC Pin=P6-2
Removed Pin From Net: NetName=GND Pin=P6-3
Removed Pin From Net: NetName=NetIC1_8 Pin=P6-4
Removed Pin From Net: NetName=NetIC1_9 Pin=P6-5
Removed Pin From Net: NetName=NetIC1_9 Pin=R1-1
Removed Pin From Net: NetName=VCC Pin=R1-2
Removed Pin From Net: NetName=NetIC1_8 Pin=R2-1
Removed Pin From Net: NetName=VCC Pin=R2-2
Removed Pin From Net: NetName=NetIC1_8 Pin=R4-1
Removed Pin From Net: NetName=VCC Pin=R4-2
Removed Pin From Net: NetName=NetIC1_9 Pin=R5-1
Removed Pin From Net: NetName=VCC Pin=R5-2
Removed Pin From Net: NetName=VCC Pin=R9-2
Removed Pin From Net: NetName=NetIC1_9 Pin=R10-1
Removed Pin From Net: NetName=VCC Pin=R10-2
Removed Pin From Net: NetName=NetIC1_8 Pin=R11-1
Removed Pin From Net: NetName=VCC Pin=R11-2
Removed Pin From Net: NetName=VCC Pin=R14-2
Removed Member From Class: ClassName=ModelT_MainBoard Member=C2
Removed Member From Class: ClassName=ModelT_MainBoard Member=C3
Removed Member From Class: ClassName=ModelT_MainBoard Member=C4
Removed Member From Class: ClassName=ModelT_MainBoard Member=C5
Removed Member From Class: ClassName=ModelT_MainBoard Member=R14
Change Component Footprint: Designator=P2 Old Footprint=HDR1X7 New Footprint=HDR1X2
Change Component Footprint: Designator=P6 Old Footprint=HDR1X7 New Footprint=HDR1X9
Change Component Footprint: Designator=IC2 Old Footprint=MPU6050 New Footprint=MS561101BA03-50
Change Component Comment : Designator=P2 Old Comment=GY-63 MS5611 Breakout New Comment=Header 2
Change Component Comment : Designator=P6 Old Comment=Header 7 New Comment=Header 9
Change Component Comment : Designator=IC2 Old Comment=MPU-6050 New Comment=MS561101BA03-50
Change component parameters: Designator = "C1" ("C1"); Footprint = "C1206"; UniqueID = "\GUVRZPOS" ("\GUVRZPOS")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "29-May-2009"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "IPC-7351 Footprint Added."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "Chip Capacitor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "C1206"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100nF"; VariantName = "[No Variations]"
Change component parameters: Designator = "IC2" ("IC2"); Footprint = "MPU6050"; UniqueID = "\JFLYNFBW" ("\JFLYNFBW")
Change component parameters (AddParameter): Name = "Arrow Part Number"; Value = "MS561101BA03-50"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Arrow Price/Stock"; Value = "https://www.arrow.com/en/products/ms561101ba03-50/te-connectivity?region=europe"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet Link"; Value = "http://www.te.com/usa-en/search.html?q=ms5611&source=header"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer_Name"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer_Part_Number"; Value = "MS561101BA03-50"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Part Number"; Value = "824-MS561101BA03-50"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Price/Stock"; Value = "https://www.mouser.co.uk/ProductDetail/Measurement-Specialties/MS561101BA03-50?qs=%252BgKeJhng5iV%252BnCz6Qd5iDw%3D%3D"; VariantName = "[No Variations]"
Change component parameters: Designator = "R5" ("R5"); Footprint = "J1-0603"; UniqueID = "\QDINFDVK" ("\QDINFDVK")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "29-May-2009"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "IPC-7351 Footprint Added."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "Chip Resistor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "J1-0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "165 Ohm"; VariantName = "[No Variations]"
Change component parameters: Designator = "R9" ("R9"); Footprint = "J1-0603"; UniqueID = "\OEMZYZZC" ("\OEMZYZZC")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "29-May-2009"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "IPC-7351 Footprint Added."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "Chip Resistor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "J1-0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "4.7K"; VariantName = "[No Variations]"
Change component parameters: Designator = "R12" ("R12"); Footprint = "J1-0603"; UniqueID = "\EXGSGCHD" ("\EXGSGCHD")
